country_name,escala
Central African Republic,20
Monaco,20
Lesotho,20
Bulgaria,20
Latvia,20
Ukraine,20
Serbia,19
Chad,19
"Somalia, Fed. Rep.",19
Nigeria,19
Russian Federation,19
Belarus,19
Lithuania,19
South Sudan,19
Hungary,19
Sierra Leone,19
Eswatini,19
Romania,18
Moldova,18
Croatia,18
Georgia,18
Estonia,18
Niger,18
Zimbabwe,18
Mali,18
Guinea,18
Dominica,18
"Congo, Dem. Rep.",18
Angola,18
Burkina Faso,17
Germany,17
Bosnia and Herzegovina,17
Mozambique,17
South Africa,17
Greece,17
Togo,17
Czechia,17
Guinea-Bissau,17
Cote d'Ivoire,17
Portugal,17
Isle of Man,16
Poland,16
Equatorial Guinea,16
Italy,16
Malawi,16
Benin,16
Liberia,16
Cameroon,16
Burundi,16
Namibia,16
Palau,16
St. Vincent and the Grenadines,15
Slovak Republic,15
Montenegro,15
Japan,15
North Macedonia,15
Denmark,15
Belgium,15
Finland,15
Slovenia,15
Uruguay,15
Sweden,15
St. Kitts and Nevis,15
Tuvalu,14
United Kingdom,14
Austria,14
Myanmar,14
Barbados,14
Zambia,14
Botswana,14
"Korea, Dem. People's Rep.",14
Ethiopia,14
Haiti,14
Armenia,14
Cuba,13
France,13
Spain,13
Djibouti,13
Curacao,13
Netherlands,13
Kazakhstan,13
Comoros,13
United States,13
Afghanistan,13
Puerto Rico (US),13
Greenland,12
Bolivia,12
Norway,12
Ghana,12
Fiji,12
Uganda,12
"Gambia, The",12
Tanzania,12
Rwanda,12
"Congo, Rep.",12
Madagascar,12
Switzerland,12
Timor-Leste,11
Faroe Islands,11
Sudan,11
Mauritius,11
Kenya,11
Guyana,11
Bermuda,11
Grenada,11
Nauru,11
Gabon,11
Argentina,11
Lao PDR,10
"Bahamas, The",10
Eritrea,10
Seychelles,10
Indonesia,10
Malta,10
Senegal,10
Pakistan,10
San Marino,10
Suriname,10
Luxembourg,10
Canada,9
St. Lucia,9
Sao Tome and Principe,9
El Salvador,9
India,9
"Micronesia, Fed. Sts.",9
Trinidad and Tobago,9
Nepal,9
Papua New Guinea,9
Gibraltar,9
Virgin Islands (U.S.),9
Thailand,9
Kiribati,8
Jamaica,8
Mauritania,8
China,8
Albania,8
New Zealand,8
Sri Lanka,8
Bhutan,8
Liechtenstein,8
Marshall Islands,8
Cambodia,8
Ireland,7
Australia,7
Tonga,7
Iceland,7
Cyprus,7
Brazil,7
Uzbekistan,7
Peru,7
Mongolia,7
Turkmenistan,7
Aruba,7
Antigua and Barbuda,6
Bangladesh,6
Kyrgyz Republic,6
"Hong Kong SAR, China",6
Andorra,6
"Venezuela, RB",6
Azerbaijan,6
Viet Nam,6
Mexico,6
"Yemen, Rep.",6
"Egypt, Arab Rep.",6
Morocco,6
Chile,5
Samoa,5
Dominican Republic,5
Tunisia,5
Turks and Caicos Islands,5
Kosovo,5
New Caledonia,5
Philippines,5
Solomon Islands,5
Guam,5
Tajikistan,5
Turkiye,4
Sint Maarten (Dutch part),4
Paraguay,4
"Korea, Rep.",4
Guatemala,4
Iraq,4
Vanuatu,4
American Samoa,4
Colombia,4
Israel,4
Cabo Verde,4
Nicaragua,3
Belize,3
British Virgin Islands,3
Syrian Arab Republic,3
Ecuador,3
Libya,3
St. Martin (French part),3
Cayman Islands,3
"Iran, Islamic Rep.",3
Lebanon,3
Singapore,3
Algeria,3
Panama,2
Honduras,2
Malaysia,2
Costa Rica,2
Brunei Darussalam,2
West Bank and Gaza,2
Jordan,2
Northern Mariana Islands,2
"Macao SAR, China",2
Maldives,2
French Polynesia,2
Saudi Arabia,1
Oman,1
Bahrain,1
Kuwait,1
Qatar,1
United Arab Emirates,1
