country_name,promedio_mortalidad,minimo_mortalidad,maximo_mortalidad,cantidad_años
Afghanistan,8.49388,5.702,12.608,25
Albania,6.875159999999999,5.584,10.262,25
Algeria,4.78512,4.602,5.988,25
American Samoa,5.41656,4.421,7.293,25
Andorra,6.08948,5.412,8.285,25
Angola,11.03856,6.84,18.08,25
Antigua and Barbuda,6.239159999999999,5.664,7.028,25
Argentina,7.772200000000001,7.386,9.725,25
Armenia,8.931999999999999,7.5,12.2,25
Aruba,6.24408,4.757,8.951,25
Australia,6.6143600000000005,6.3,7.3,25
Austria,9.443999999999999,9.0,10.3,25
Azerbaijan,6.02,5.6,7.6,25
"Bahamas, The",7.7204,6.485,11.259,25
Bahrain,2.20996,1.983,2.804,25
Bangladesh,6.20288,5.01,8.276,25
Barbados,9.41388,8.97,11.097,25
Belarus,13.77372,12.6,15.839,25
Belgium,9.783999999999999,9.3,11.0,25
Belize,5.2340800000000005,4.925,5.95,25
Benin,10.227039999999999,8.71,11.89,25
Bermuda,7.8658,6.43,9.004,25
Bhutan,6.77784,6.065,8.188,25
Bolivia,8.44468,7.172,11.791,25
Bosnia and Herzegovina,10.906400000000001,7.413,18.387,25
Botswana,9.1654,5.724,12.657,25
Brazil,6.31832,5.778,8.366,25
British Virgin Islands,5.18708,4.434,7.038,25
Brunei Darussalam,4.22768,3.472,6.559,25
Bulgaria,15.655999999999999,14.0,22.9,25
Burkina Faso,11.01848,7.915,15.332,25
Burundi,10.16756,6.67,15.854,25
Cabo Verde,5.36936,5.004,6.35,25
Cambodia,6.65616,6.01,8.7,25
Cameroon,10.20424,7.032,13.275,25
Canada,7.436,7.0,8.7,25
Cayman Islands,5.07248,4.722,5.552,25
Central African Republic,19.41364,9.379,72.483,25
Chad,14.54236,11.032,17.852,25
Chile,5.9682,4.969,7.655,25
China,6.9888,6.4,7.87,25
Colombia,5.4088,4.977,7.869,25
Comoros,8.597240000000001,7.123,10.606,25
"Congo, Dem. Rep.",11.306880000000001,8.424,14.619,25
"Congo, Rep.",8.21908,6.241,11.257,25
Costa Rica,4.5888,3.844,6.567,25
Cote d'Ivoire,10.47816,7.607,13.478,25
Croatia,12.491800000000001,11.2,16.2,25
Cuba,8.89268,7.103,15.253,25
Curacao,8.74196,7.9,11.0,25
Cyprus,6.36236,5.838,7.693,25
Czechia,10.612,10.0,13.3,25
Denmark,9.84,9.1,10.9,25
Djibouti,8.7904,7.456,10.692,25
Dominica,11.36244,9.729,14.31,25
Dominican Republic,5.825399999999999,5.543,6.986,25
Ecuador,5.12188,4.648,7.474,25
"Egypt, Arab Rep.",5.98516,5.461,7.036,25
El Salvador,7.35604,6.552,8.712,25
Equatorial Guinea,10.398320000000002,7.851,13.592,25
Eritrea,7.685639999999999,5.995,11.145,25
Estonia,12.332,11.5,14.0,25
Eswatini,13.17348,7.7,17.757,25
Ethiopia,9.11948,5.879,14.681,25
Faroe Islands,8.02548,6.996,9.058,25
Fiji,8.366520000000001,6.818,11.157,25
Finland,9.704,9.1,11.4,25
France,8.888,8.3,9.9,25
French Polynesia,3.13692,2.581,5.245,25
Gabon,7.81128,6.226,9.746,25
"Gambia, The",8.3236,6.249,11.332,25
Georgia,12.39352,11.304,15.342,25
Germany,10.927999999999999,9.9,12.8,25
Ghana,8.36924,7.009,9.991,25
Gibraltar,7.12596,6.409,8.847,25
